序号,发送时间,接收时间,发送内容,接收内容,延迟,信号强度,是否丢包,内容出错,延迟等级,状态划分
10000000,2024-09-09 19:48:55.264,2024-09-09 19:48:55.574,10000000 0909194855264 99,10000000 0909194855264 99,310,99,False,False,2,1
10000001,2024-09-09 19:48:55.859,2024-09-09 19:48:56.183,10000001 0909194855859 99,10000001 0909194855859 99,324,99,False,False,2,1
10000002,2024-09-09 19:48:56.449,2024-09-09 19:48:56.745,10000002 0909194856449 99,10000002 0909194856449 99,296,99,False,False,1,1
10000003,2024-09-09 19:48:57.040,2024-09-09 19:48:57.339,10000003 0909194857040 99,10000003 0909194857040 99,299,99,False,False,1,1
10000004,2024-09-09 19:48:57.631,2024-09-09 19:48:57.948,10000004 0909194857631 99,10000004 0909194857631 99,317,99,False,False,2,1
10000005,2024-09-09 19:48:58.225,2024-09-09 19:48:58.510,10000005 0909194858225 99,10000005 0909194858225 99,285,99,False,False,1,1
10000006,2024-09-09 19:48:58.817,2024-09-09 19:48:59.120,10000006 0909194858817 99,10000006 0909194858817 99,303,99,False,False,2,1
10000007,2024-09-09 19:48:59.409,2024-09-09 19:48:59.729,10000007 0909194859409 99,10000007 0909194859409 99,320,99,False,False,2,1
10000008,2024-09-09 19:49:00.001,2024-09-09 19:49:00.291,10000008 0909194900001 99,10000008 0909194900001 99,290,99,False,False,1,1
10000009,2024-09-09 19:49:00.594,2024-09-09 19:49:00.900,10000009 0909194900594 99,10000009 0909194900594 99,306,99,False,False,2,1
10000010,2024-09-09 19:49:01.195,2024-09-09 19:49:01.494,10000010 0909194901195 99,10000010 0909194901195 99,299,99,False,False,1,1
10000011,2024-09-09 19:49:01.790,2024-09-09 19:49:02.103,10000011 0909194901790 99,10000011 0909194901790 99,313,99,False,False,2,1
10000012,2024-09-09 19:49:02.379,2024-09-09 19:49:02.665,10000012 0909194902379 99,10000012 0909194902379 99,286,99,False,False,1,1
10000013,2024-09-09 19:49:02.969,2024-09-09 19:49:03.275,10000013 0909194902969 99,10000013 0909194902969 99,306,99,False,False,2,1
